title,company,location,how_old,link
Desenvolvedor Python,Locus Custom Software,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=4cfc3cf79d16906b&fccid=0c389d94a3baff35&vjs=3
Jovem Aprendiz,Intelipost,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=22e45c349b8035cc&fccid=1cb1d80825ef7887&vjs=3
Estágio em Desenvolvimento em Python,Seazone,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=825d6522af82ebcf&fccid=e326532d41ab2aca&vjs=3
Desenvolvedor Python - Centro,Jobbol,"Itajubá, MG",Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=097c2e129310132e&fccid=c64032edc49f7500&vjs=3
Cientista de Dados Júnior,Martins,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=0e8cefb87027d724&fccid=ad323c1a5fbaa4b3&vjs=3
Estágio - Programador(a) Python Front End (PyQt + PySide),Não encontrada,Home office,Postedhá 12 dias,https://br.indeed.com/rc/clk?jk=64389f912a98af52&fccid=dd616958bd9ddc12&vjs=3
[RACCOON.MONKS] Estágio Data Science,raccoon.monks,Home office,Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=d43ce37f1fc700f8&fccid=fd8162ad6a9d5817&vjs=3
Desenvolvedor(a) Back-end Python,MESHA TECNOLOGIA,"Hybrid remote in Maceió, AL",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=cb804a87afbd04ba&fccid=b40edd3944d0c8d7&vjs=3
BACKEND DEVELOPER (PYTHON),Serasa,"Blumenau, SC",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=27c84b9a78c2be59&fccid=e5c86fb795b26050&vjs=3
Desenvolvedor(a) Django Júnior,Weni,Home office,Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=c182ffc8ca72226d&fccid=de1b89613db1013f&vjs=3
Estágio em Reporting,Cielo Oportunidades Internas,Home office,Postedhá 18 dias,https://br.indeed.com/rc/clk?jk=cd5f14197eaccc5e&fccid=9179784f2a8f1e0f&vjs=3
Cientista de Dados Jr.,Recruta Simples,"Vitória, ES",PostedRecém publicada,https://br.indeed.com/rc/clk?jk=3571b359d485d91d&fccid=6fd0c06978445579&vjs=3
BACKEND DEVELOPER (PYTHON/GO),Serasa,"Blumenau, SC",Postedhá 9 dias,https://br.indeed.com/rc/clk?jk=0f142bfe7492ce91&fccid=e5c86fb795b26050&vjs=3
Estagiário(a) - Bridge Technology,Bridge & Co.,Home office,Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=ffadcda0809f5977&fccid=cb5c00a44b9e557f&vjs=3
Desenvolvedor(a) Python,CWI Software,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=d90bfbea44f6324c&fccid=a64651178efd73c0&vjs=3
Desenvolvedor(a) Python Sr.,Sankhya Gestão de Negócios,Home office,Postedhá 14 dias,https://br.indeed.com/rc/clk?jk=d0d50d5a61642e6a&fccid=cb41a10e2720341c&vjs=3
Estagiári@ em People Analytics,Gringo,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=9c90b24e89b42b20&fccid=a0902a1ef5fa6aa3&vjs=3
BANCO DE TALENTOS - PYTHON,Órama,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c48f20019d9d3267&fccid=704967faf7b662a6&vjs=3
Estagiário de SupplyOps,oico,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=6910726d83b28b76&fccid=ba3032386c2a40cb&vjs=3
Pessoa Desenvolvedora Back-end Python [Sênior],Datum TI,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=f309633d79ccfbc9&fccid=e267f08170cab296&vjs=3
Senior Python Developer WORK |LATAM|,BairesDev,,Postedhá 10 dias,https://br.indeed.com/rc/clk?jk=9b1a778504c9f877&fccid=29707109e86166e5&vjs=3
Cientista de Dados IV,Fretebras,Home office,Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=2eeb4e4a408fa9b3&fccid=52ce3d0deb78eae4&vjs=3
ESTÁGIO EM DESENVOLVIMENTO MOBILE,Positivo Tecnologia,"Home office in Curitiba, PR",Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=e06848c98b9edc30&fccid=0d0653c8d098c271&vjs=3
Python Backend Developer,Luxoft,"Brasília, DF",Postedhá 13 dias,https://br.indeed.com/rc/clk?jk=0100282e0b7504a9&fccid=4b841d912d46e4fd&vjs=3
ENGENHEIRO BACK-END PYTHON,ROIT,Home office,Postedhá 9 dias,https://br.indeed.com/rc/clk?jk=11df664802ddb71f&fccid=881947d7f3319cbd&vjs=3
Analista de Dados | CRM,Lojas Renner,Home office,Postedhá 21 dias,https://br.indeed.com/rc/clk?jk=ec7be18ba17cca47&fccid=0421650f9c724b35&vjs=3
Estágio Excelsior,Excelsior Seguros,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=d71fe648636b440c&fccid=83f18676bc5738db&vjs=3
Pessoa Desenvolvedora Python Plena,Aquarela Analytics,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=1e3044fbf6f37dcc&fccid=31738c8eefec1252&vjs=3
DevOps Engineer with Python,Luxoft,"Brasília, DF",Postedhá 13 dias,https://br.indeed.com/rc/clk?jk=ccc69282ce25f2c4&fccid=4b841d912d46e4fd&vjs=3
Analista BI I,GOL Linhas Aéreas,"Home office in São Paulo, SP",PostedRecém publicada,https://br.indeed.com/company/GOL-Linhas-A%C3%A9ras/jobs/Analista-Bi-0d7f0371eb05ac26?fccid=4abbea6f16383dfd&vjs=3
Dev Python/Django,Join Tecnologia & Design,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=853e9afaca3737ca&fccid=a623d38851ccc739&vjs=3
Desenvolvedor (a) Full Stack Python,Bravi,"Home office in São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=efda8a3e12e66dbe&fccid=ea733cebd32530ea&vjs=3
Desenvolvedor Back End Typescript | Python Sênior,Mercafacil,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=9141164f01112506&fccid=e1d8d0a26265504b&vjs=3
Machine Learning (Inteligência Artificial),Docket Brasil,Home office,Postedhá 14 dias,https://br.indeed.com/rc/clk?jk=58353043d7fff9e7&fccid=a88d433186eb34b6&vjs=3
Cientista de Dados Pleno,VIACERTA Banking,"Home office in Santo Cristo, RS",PostedRecém publicada,https://br.indeed.com/rc/clk?jk=a24262d5f6f83e95&fccid=da358fd9be576044&vjs=3
Desenvolvedor Backend Junior,Venha ser um Blincteker,Home office,Postedhá 11 dias,https://br.indeed.com/rc/clk?jk=00244903a3157a03&fccid=4a927fe527458b51&vjs=3
Cientista de Dados,tembici.,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=ad4f6b9da5ab85c6&fccid=90220ad0f8ca290d&vjs=3
Desenvolvedor(a) Front End,Não encontrada,Home office,Postedhá 14 dias,https://br.indeed.com/rc/clk?jk=76f84307215161eb&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor(a) Full Stack PYTHON - Sênior,Não encontrada,"São José dos Campos, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=1c1d3dd18f393a98&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor Python – Porto Alegre – RS,BuscarVagas,,Postedhá 4 dias,https://br.indeed.com/rc/clk?jk=d1a42b168f4060dd&fccid=73abce787a9b9ca5&vjs=3
PESSOA ENGENHEIRA DE MACHINE LEARNING JUNIOR,Neon Pagamentos,Home office in Brasil,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=adbd51fdb1ab8e29&fccid=f362771e1d0a24ae&vjs=3
Analista de Inteligência de Negócioss III,DM,"Home office in São José dos Campos, SP",Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=e99cf4aeb973a3e3&fccid=6e05be4b221befa5&vjs=3
Cientista de Dados I,Martins,Home office,Postedhá 9 dias,https://br.indeed.com/rc/clk?jk=4762bb572046d16b&fccid=ad323c1a5fbaa4b3&vjs=3
Pessoa Desenvolvedora Back-end Python,GRAFENO,Home office,Postedhá 29 dias,https://br.indeed.com/rc/clk?jk=f0b4f9ed3a663c37&fccid=b2df90628328d927&vjs=3
Desenvolvedor Python,Inklua Servicos Para Inclusao de Pcd Ltda,"Home office in São Paulo, SP",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=db9cde55ed0611ac&fccid=141861a74ade1c07&vjs=3
Analista de Redes | Telecom,Globo,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=01debd71df34ab96&fccid=69cd436cef8c3dbe&vjs=3
Python Developer - Vila Progresso,Jobbol,"Sorocaba, SP",Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=5087885e397dee56&fccid=c64032edc49f7500&vjs=3
Pessoa Desenvolvedora Python,Venha para a NeuralMed,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=d881a49f3071a214&fccid=67f074b0eda9108e&vjs=3
